session,camera,tracker,difficulty,bedding,animals,mota,motp,idf1,idp,idr,idtp,idfp,idfn,num_switches,num_fragmentations,precision,recall,num_false_positives,num_misses,num_detections,num_objects,num_predictions,mostly_tracked,partially_tracked,mostly_lost,num_unique_objects,num_frames
10072022122913,top,bytetrack,1,black,1,0.9943740496705524,2.2374585815623568e-10,0.9971790896846172,1.0,0.9943740496705524,19619.0,0.0,111.0,0,27,1.0,0.9943740496705524,0,111,19619,19730,19619,1,0,0,1,19730
10072022124146,top,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18085.0,0.0,0.0,0,0,1.0,1.0,0,0,18085,18085,18085,1,0,0,1,18085
10072022124146,top,luc3d,1,black,1,0.9989494055847388,0.0,0.9994744267101878,1.0,0.9989494055847388,18066.0,0.0,19.0,0,12,1.0,0.9989494055847388,0,19,18066,18085,18066,1,0,0,1,18085
10072022124146,top,bytetrack,1,black,1,0.9965164500967651,5.85865650250952e-10,0.9982551859750188,1.0,0.9965164500967651,18022.0,0.0,63.0,0,32,1.0,0.9965164500967651,0,63,18022,18085,18022,1,0,0,1,18085
10072022124146,midL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18085.0,0.0,0.0,0,0,1.0,1.0,0,0,18085,18085,18085,1,0,0,1,18085
10072022124146,midL,luc3d,1,black,1,0.9974564556262095,0.0,0.99872660834902,1.0,0.9974564556262095,18039.0,0.0,46.0,0,14,1.0,0.9974564556262095,0,46,18039,18085,18039,1,0,0,1,18085
10072022124146,midL,bytetrack,1,black,1,0.995023500138236,6.493801726597225e-10,0.9975055432372506,1.0,0.995023500138236,17995.0,0.0,90.0,0,43,1.0,0.995023500138236,0,90,17995,18085,17995,1,0,0,1,18085
10072022124146,topL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18085.0,0.0,0.0,0,0,1.0,1.0,0,0,18085,18085,18085,1,0,0,1,18085
10072022124146,topL,luc3d,1,black,1,0.9989494055847388,0.0,0.9994744267101878,1.0,0.9989494055847388,18066.0,0.0,19.0,0,12,1.0,0.9989494055847388,0,19,18066,18085,18066,1,0,0,1,18085
10072022124146,topL,bytetrack,1,black,1,0.9954105612385956,3.1980970762660733e-10,0.997700002771081,1.0,0.9954105612385956,18002.0,0.0,83.0,0,59,1.0,0.9954105612385956,0,83,18002,18085,18002,1,0,0,1,18085
10072022125259,back,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18007.0,0.0,0.0,0,0,1.0,1.0,0,0,18007,18007,18007,1,0,0,1,18102
10072022125259,back,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18007.0,0.0,0.0,0,0,1.0,1.0,0,0,18007,18007,18007,1,0,0,1,18102
10072022125259,back,bytetrack,1,black,1,0.9795635030821348,1.6148870481142143e-10,0.9896779984292606,0.9998299801643524,0.9797301049591826,17642.0,3.0,365.0,6,127,1.0,0.9798967068362304,0,362,17645,18007,17645,1,0,0,1,18102
10072022125259,backL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18064.0,0.0,0.0,0,0,1.0,1.0,0,0,18064,18064,18064,1,0,0,1,18102
10072022125259,backL,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18064.0,0.0,0.0,0,0,1.0,1.0,0,0,18064,18064,18064,1,0,0,1,18102
10072022125259,backL,bytetrack,1,black,1,0.9785761736049602,2.3833450487261124e-10,0.9891720992697464,1.0,0.9785761736049602,17677.0,0.0,387.0,0,111,1.0,0.9785761736049602,0,387,17677,18064,17677,1,0,0,1,18102
10072022125259,mid,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,17997.0,0.0,0.0,0,0,1.0,1.0,0,0,17997,17997,17997,1,0,0,1,18102
10072022125259,mid,luc3d,1,black,1,0.9948324720786798,0.0,0.9974095429096682,1.0,0.9948324720786798,17904.0,0.0,93.0,0,41,1.0,0.9948324720786798,0,93,17904,17997,17904,1,0,0,1,18102
10072022125259,mid,bytetrack,1,black,1,0.9827193421125744,3.3525446394283685e-11,0.991284365103831,1.0,0.9827193421125744,17686.0,0.0,311.0,0,127,1.0,0.9827193421125744,0,311,17686,17997,17686,1,0,0,1,18102
10072022125259,midL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18025.0,0.0,0.0,0,0,1.0,1.0,0,0,18025,18025,18025,1,0,0,1,18102
10072022125259,midL,luc3d,1,black,1,0.9884604715672676,0.0,0.9941967524133698,1.0,0.9884604715672676,17817.0,0.0,208.0,0,56,1.0,0.9884604715672676,0,208,17817,18025,17817,1,0,0,1,18102
10072022125259,midL,bytetrack,1,black,1,0.9743689320388348,1.1009367287285815e-09,0.9771558627665852,0.9899795035299476,0.9646601941747572,17388.0,176.0,637.0,1,151,1.0,0.9744244105409154,0,461,17564,18025,17564,1,0,0,1,18102
10072022125259,top,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18017.0,0.0,0.0,0,0,1.0,1.0,0,0,18017,18017,18017,1,0,0,1,18102
10072022125259,top,luc3d,1,black,1,0.9945051895432092,0.0,0.9972450257409212,1.0,0.9945051895432092,17918.0,0.0,99.0,0,43,1.0,0.9945051895432092,0,99,17918,18017,17918,1,0,0,1,18102
10072022125259,top,bytetrack,1,black,1,0.981794971415885,2.1447664371138918e-10,0.9908138688175656,1.0,0.981794971415885,17689.0,0.0,328.0,0,118,1.0,0.981794971415885,0,328,17689,18017,17689,1,0,0,1,18102
10072022125259,topL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18069.0,0.0,0.0,0,0,1.0,1.0,0,0,18069,18069,18069,1,0,0,1,18102
10072022125259,topL,luc3d,1,black,1,0.9945210028225135,0.0,0.9972529759427288,1.0,0.9945210028225135,17970.0,0.0,99.0,0,41,1.0,0.9945210028225135,0,99,17970,18069,17970,1,0,0,1,18102
10072022125259,topL,bytetrack,1,black,1,0.9808511815817146,4.3810647109845087e-10,0.9903330353151544,1.0,0.9808511815817146,17723.0,0.0,346.0,0,120,1.0,0.9808511815817146,0,346,17723,18069,17723,1,0,0,1,18102
10072022130420,backL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,backL,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,backL,bytetrack,1,black,1,0.9967448275862067,1.6394348400826154e-10,0.998369760437678,1.0,0.9967448275862067,18066.0,0.0,59.0,0,12,1.0,0.9967448275862067,0,59,18066,18125,18066,1,0,0,1,18125
10072022130420,back,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,back,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,back,bytetrack,1,black,1,0.998896551724138,7.549798852922872e-11,0.9994479712945074,1.0,0.998896551724138,18105.0,0.0,20.0,0,6,1.0,0.998896551724138,0,20,18105,18125,18105,1,0,0,1,18125
10072022130420,mid,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,mid,luc3d,1,black,1,0.9984551724137932,0.0,0.9992269891226326,1.0,0.9984551724137932,18097.0,0.0,28.0,0,17,1.0,0.9984551724137932,0,28,18097,18125,18097,1,0,0,1,18125
10072022130420,mid,bytetrack,1,black,1,0.997351724137931,0.0,0.9986741064029612,1.0,0.997351724137931,18077.0,0.0,48.0,0,10,1.0,0.997351724137931,0,48,18077,18125,18077,1,0,0,1,18125
10072022130420,midL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,midL,luc3d,1,black,1,0.9967448275862067,0.0,0.998369760437678,1.0,0.9967448275862067,18066.0,0.0,59.0,0,27,1.0,0.9967448275862067,0,59,18066,18125,18066,1,0,0,1,18125
10072022130420,midL,bytetrack,1,black,1,0.9975724137931036,1.4417023156050018e-10,0.9987847318124068,1.0,0.9975724137931036,18081.0,0.0,44.0,0,8,1.0,0.9975724137931036,0,44,18081,18125,18081,1,0,0,1,18125
10072022130420,top,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,top,luc3d,1,black,1,0.9985655172413792,0.0,0.9992822438162544,1.0,0.9985655172413792,18099.0,0.0,26.0,0,16,1.0,0.9985655172413792,0,26,18099,18125,18099,1,0,0,1,18125
10072022130420,top,bytetrack,1,black,1,0.9970206896551724,2.7549928090599157e-10,0.998508122444469,1.0,0.9970206896551724,18071.0,0.0,54.0,0,13,1.0,0.9970206896551724,0,54,18071,18125,18071,1,0,0,1,18125
10072022130420,topL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,topL,luc3d,1,black,1,0.9985655172413792,0.0,0.9992822438162544,1.0,0.9985655172413792,18099.0,0.0,26.0,0,16,1.0,0.9985655172413792,0,26,18099,18125,18099,1,0,0,1,18125
10072022130420,topL,bytetrack,1,black,1,0.9966896551724138,2.1964764490120288e-10,0.9983420834484664,1.0,0.9966896551724138,18065.0,0.0,60.0,0,9,1.0,0.9966896551724138,0,60,18065,18125,18065,1,0,0,1,18125
10072022131531,back,sleap,2,black,2,0.9999437649374384,0.0016713897954759,0.8633487979755378,0.8633487979755378,0.8633487979755378,30705.0,4860.0,4860.0,2,0,1.0,1.0,0,0,35565,35565,35565,2,0,0,2,18036
10072022131531,back,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,35565.0,0.0,0.0,0,0,1.0,1.0,0,0,35565,35565,35565,2,0,0,2,18036
10072022131531,back,bytetrack,2,black,2,0.995079432025868,4.68231481437463e-10,0.6897591634841673,0.6914058085659397,0.6881203430338816,24473.0,10923.0,11092.0,6,102,1.0,0.9952481372135528,0,169,35396,35565,35396,2,0,0,2,18036
10072022131531,backL,sleap,2,black,2,1.0,0.0,1.0,1.0,1.0,35217.0,0.0,0.0,0,0,1.0,1.0,0,0,35217,35217,35217,2,0,0,2,18036
10072022131531,backL,luc3d,2,black,2,1.0,1.8235374978100288e-05,1.0,1.0,1.0,35217.0,0.0,0.0,0,0,1.0,1.0,0,0,35217,35217,35217,2,0,0,2,18036
10072022131531,backL,bytetrack,2,black,2,0.9936962262543658,0.0079920660108337,0.6946679006193494,0.6966417271117711,0.6927052275889485,24395.0,10623.0,10822.0,23,123,1.0,0.9943493199307152,0,199,35018,35217,35018,2,0,0,2,18036
10072022131531,mid,sleap,2,black,2,1.0,0.0,1.0,1.0,1.0,35516.0,0.0,0.0,0,0,1.0,1.0,0,0,35516,35516,35516,2,0,0,2,18036
10072022131531,mid,luc3d,2,black,2,0.9990989976348688,0.0,0.999549295774648,1.0,0.9990989976348688,35484.0,0.0,32.0,0,8,1.0,0.9990989976348688,0,32,35484,35516,35484,2,0,0,2,18036
10072022131531,mid,bytetrack,2,black,2,0.9963396778916545,3.521418468832923e-11,0.8643068678606685,0.8657964626772899,0.8628223899087735,30644.0,4750.0,4872.0,8,80,1.0,0.9965649284829372,0,122,35394,35516,35394,2,0,0,2,18036
10072022131531,midL,sleap,2,black,2,0.998507756848833,0.0,0.7971526243968319,0.796603497722544,0.7977025086578259,28332.0,7234.0,7185.0,4,0,0.9986222797053366,1.0,49,0,35517,35517,35566,2,0,0,2,18036
10072022131531,midL,luc3d,2,black,2,0.99938057831461,0.0,0.999690193206782,1.0,0.99938057831461,35495.0,0.0,22.0,0,7,1.0,0.99938057831461,0,22,35495,35517,35495,2,0,0,2,18036
10072022131531,midL,bytetrack,2,black,2,0.9935523833657122,0.0036702925294687,0.6277646129541864,0.6289889482461347,0.626545034772081,22253.0,13126.0,13264.0,11,101,0.9988693857938326,0.994988315454571,40,178,35339,35517,35379,2,0,0,2,18036
10072022131531,top,sleap,2,black,2,1.0,0.0,1.0,1.0,1.0,35390.0,0.0,0.0,0,0,1.0,1.0,0,0,35390,35390,35390,2,0,0,2,18036
10072022131531,top,luc3d,2,black,2,0.9998022040124328,0.0,0.999901092224436,1.0,0.9998022040124328,35383.0,0.0,7.0,0,6,1.0,0.9998022040124328,0,7,35383,35390,35383,2,0,0,2,18036
10072022131531,top,bytetrack,2,black,2,0.9951116134501272,0.0023996406646909,0.7274169109421245,0.7290998381922957,0.7257417349533767,25684.0,9543.0,9706.0,10,78,1.0,0.9953941791466516,0,163,35227,35390,35227,2,0,0,2,18036
10072022131531,topL,sleap,2,black,2,0.9998874887488748,0.0002039820027003,0.8638051305130513,0.8638051305130513,0.8638051305130513,30710.0,4842.0,4842.0,4,0,1.0,1.0,0,0,35552,35552,35552,2,0,0,2,18036
10072022131531,topL,luc3d,2,black,2,0.9997749774977498,0.0,0.9998874760886688,1.0,0.9997749774977498,35544.0,0.0,8.0,0,7,1.0,0.9997749774977498,0,8,35544,35552,35544,2,0,0,2,18036
10072022131531,topL,bytetrack,2,black,2,0.9957245724572458,0.0024768708679468,0.6667418263810597,0.6680976050610031,0.6653915391539154,23656.0,11752.0,11896.0,8,77,1.0,0.995949594959496,0,144,35408,35552,35408,2,0,0,2,18036
10072022132603,back,sleap,2,black,2,0.999947648090464,5.059315853166795e-05,0.9807083213360208,0.9807083213360208,0.9807083213360208,37466.0,737.0,737.0,2,0,1.0,1.0,0,0,38203,38203,38203,2,0,0,2,19164
10072022132603,back,luc3d,2,black,2,0.999502656859409,0.0004307564926367,0.9287761967719556,0.9289342759884788,0.9286181713478,35476.0,2714.0,2727.0,6,1,1.0,0.9996597125880168,0,13,38190,38203,38190,2,0,0,2,19164
10072022132603,back,bytetrack,2,black,2,0.9948433369107138,9.21358540171924e-11,0.5504300849680058,0.5514568718635874,0.549407114624506,20989.0,17072.0,17214.0,55,80,1.0,0.9962830144229512,0,142,38061,38203,38061,2,0,0,2,19164
10072022132603,backL,sleap,2,black,2,0.9997044917257684,6.982589769093415e-05,0.980243630551862,0.9801251577901324,0.9803621319578768,36493.0,740.0,731.0,2,0,0.9997582789460964,1.0,9,0,37224,37224,37233,2,0,0,2,19164
